Model Configuration
batch_size,32
src_seq_len,65
tgt_seq_len,65
vocab_src,14249
vocab_tgt,17983
d_model,300
N,6
h,6
dropout,0.1
d_ff,1024
learning_rate,0.0005
num_epochs,15
eps,1e-09
Epoch,Train Loss,Validation Loss,BLEU Score,ROUGE1,ROUGE2,ROUGE-L
1,6.086228392017421,5.375356435775757,0.0014400812994682752,0.15530436645834325,0.014917996950235528,0.13247363441834742
2,5.211322846951515,4.935012783323016,0.008389324455806252,0.1997664725325183,0.028087050890860298,0.17478025123141355
3,4.779305756473338,4.738294073513576,0.010479164999480997,0.20062575505338834,0.04026542285326465,0.17648656609486332
4,4.395345074535687,4.495093652180263,0.015888856897074,0.2171980063827307,0.05378459984453995,0.19118504374402207
5,4.033363713130259,4.345751157828739,0.022438188990270516,0.24080416969753599,0.07319842685128217,0.21322462253575492
6,3.6957324438257766,4.202699635710035,0.02809177413454323,0.25537760941338183,0.08185386952321703,0.22620669999422863
7,3.396048990139829,4.145473139626639,0.03131522463505041,0.26487586379263633,0.09228794748194577,0.23416875411715038
8,3.1291742416333035,3.9939521721431186,0.03677762318603199,0.2708313604334879,0.101042708679331,0.24180395775049712
9,2.9030757560404634,4.01115882396698,0.045202314156296074,0.29980241901626825,0.12085175085621973,0.27014750202239335
10,2.6963461657831154,3.9844604475157603,0.048514178689906186,0.3133719527230853,0.1264089525658042,0.2837056819536844
11,2.522967023763067,4.03343369279589,0.04586760302539234,0.2876734787758783,0.11969988005410684,0.25625780676152576
12,2.3667866286438413,4.040746220520565,0.047467796872216875,0.29039050746294387,0.1254205284040725,0.2621637463059803
