Model Configuration
batch_size,32
src_seq_len,65
tgt_seq_len,65
vocab_src,14249
vocab_tgt,17983
d_model,300
N,3
h,4
dropout,0.1
d_ff,1024
learning_rate,0.0005
num_epochs,15
eps,1e-09
Epoch,Train Loss,Validation Loss,BLEU Score,ROUGE1,ROUGE2,ROUGE-L
1,4.883705258623624,5.049509406089783,0.022490260457422907,0.2339197199515791,0.06569492225924277,0.20485510528091241
2,4.391339353661039,4.913182956831796,0.038385216536934066,0.291731765456511,0.10156916987935355,0.25966849530594355
3,3.9966359524838704,4.823609062603542,0.04739058067696673,0.31039783089701684,0.11839042212991929,0.27967555448832804
4,3.6833238505097086,4.810658284596035,0.04841788515637428,0.31498821635670093,0.1272117912408334,0.28335642448884063
5,3.421944965431685,4.820908563477652,0.05433888950511388,0.3314680908254314,0.14074326366075962,0.3005679918600864
6,3.2046487290721966,4.83715159552438,0.055723630631056474,0.3350384685718581,0.14654930100173227,0.30475244066178225
